// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a
// command took 3.26s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a
// command took 14.91s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a
// command took 4.58s and exited with 0
// ***** Done, took 00:00:23 (23.15 sec)   *****
// Found 2 benchmarks:
//   StringVsStringBuilder.UsingString: DefaultJob
//   StringVsStringBuilder.UsingStringBuilder: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringVsStringBuilder.UsingString: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e84ed014-edbb-41fc-adcc-da9ff2ab812a.dll" --benchmarkName "ClassPractice.StringVsStringBuilder.UsingString" --job "Default" --benchmarkId 0 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual   9: 2048 op, 4740.73 ns, 2.3148 ns/op
OverheadActual  10: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual  11: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual  12: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual  13: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual  14: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual  15: 2048 op, 53606.77 ns, 26.1752 ns/op
OverheadActual  16: 2048 op, 33185.14 ns, 16.2037 ns/op
OverheadActual  17: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual  18: 2048 op, 4740.73 ns, 2.3148 ns/op
OverheadActual  19: 2048 op, 6199.42 ns, 3.0271 ns/op
OverheadActual  20: 2048 op, 4376.06 ns, 2.1367 ns/op

WorkloadWarmup   1: 2048 op, 522556233.32 ns, 255.1544 us/op
WorkloadWarmup   2: 2048 op, 493561170.61 ns, 240.9967 us/op
WorkloadWarmup   3: 2048 op, 506294783.99 ns, 247.2142 us/op
WorkloadWarmup   4: 2048 op, 521691596.25 ns, 254.7322 us/op
WorkloadWarmup   5: 2048 op, 511205455.78 ns, 249.6120 us/op
WorkloadWarmup   6: 2048 op, 502666298.59 ns, 245.4425 us/op
WorkloadWarmup   7: 2048 op, 510246004.02 ns, 249.1436 us/op
WorkloadWarmup   8: 2048 op, 499528296.90 ns, 243.9103 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 529694685.75 ns, 258.6400 us/op
WorkloadActual   2: 2048 op, 499324809.98 ns, 243.8109 us/op
WorkloadActual   3: 2048 op, 498889027.06 ns, 243.5982 us/op
WorkloadActual   4: 2048 op, 510235063.86 ns, 249.1382 us/op
WorkloadActual   5: 2048 op, 504671994.04 ns, 246.4219 us/op
WorkloadActual   6: 2048 op, 512111300.78 ns, 250.0543 us/op
WorkloadActual   7: 2048 op, 514312825.04 ns, 251.1293 us/op
WorkloadActual   8: 2048 op, 503721659.07 ns, 245.9578 us/op
WorkloadActual   9: 2048 op, 505811593.72 ns, 246.9783 us/op
WorkloadActual  10: 2048 op, 600918754.38 ns, 293.4174 us/op
WorkloadActual  11: 2048 op, 503482434.30 ns, 245.8410 us/op
WorkloadActual  12: 2048 op, 501797285.46 ns, 245.0182 us/op
WorkloadActual  13: 2048 op, 525758052.59 ns, 256.7178 us/op
WorkloadActual  14: 2048 op, 508272035.03 ns, 248.1797 us/op
WorkloadActual  15: 2048 op, 495672985.58 ns, 242.0278 us/op
WorkloadActual  16: 2048 op, 540357692.08 ns, 263.8465 us/op
WorkloadActual  17: 2048 op, 507637505.92 ns, 247.8699 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 529690674.35 ns, 258.6380 us/op
WorkloadResult   2: 2048 op, 499320798.59 ns, 243.8090 us/op
WorkloadResult   3: 2048 op, 498885015.67 ns, 243.5962 us/op
WorkloadResult   4: 2048 op, 510231052.47 ns, 249.1363 us/op
WorkloadResult   5: 2048 op, 504667982.65 ns, 246.4199 us/op
WorkloadResult   6: 2048 op, 512107289.39 ns, 250.0524 us/op
WorkloadResult   7: 2048 op, 514308813.65 ns, 251.1274 us/op
WorkloadResult   8: 2048 op, 503717647.68 ns, 245.9559 us/op
WorkloadResult   9: 2048 op, 505807582.33 ns, 246.9764 us/op
WorkloadResult  10: 2048 op, 503478422.91 ns, 245.8391 us/op
WorkloadResult  11: 2048 op, 501793274.06 ns, 245.0162 us/op
WorkloadResult  12: 2048 op, 525754041.20 ns, 256.7158 us/op
WorkloadResult  13: 2048 op, 508268023.64 ns, 248.1777 us/op
WorkloadResult  14: 2048 op, 495668974.19 ns, 242.0259 us/op
WorkloadResult  15: 2048 op, 540353680.69 ns, 263.8446 us/op
WorkloadResult  16: 2048 op, 507633494.53 ns, 247.8679 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 249.0749 us, StdErr = 1.4874 us (0.60%); N = 16, StdDev = 5.9496 us
Min = 242.0259 us, Q1 = 245.4277 us, Median = 247.4221 us, Q3 = 250.5899 us, Max = 263.8446 us
IQR = 5.1622 us, LowerFence = 237.6843 us, UpperFence = 258.3332 us
ConfidenceInterval = [243.0170 us; 255.1328 us] (CI 99.9%), Margin = 6.0579 us (2.43% of Mean)
Skewness = 1.11, Kurtosis = 3.2, MValue = 2

// **************************
// Benchmark: StringVsStringBuilder.UsingStringBuilder: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e84ed014-edbb-41fc-adcc-da9ff2ab812a.dll" --benchmarkName "ClassPractice.StringVsStringBuilder.UsingStringBuilder" --job "Default" --benchmarkId 1 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 607543.38 ns, 607.5434 us/op
WorkloadJitting  1: 1 op, 923349.25 ns, 923.3492 us/op

OverheadJitting  2: 16 op, 353002.40 ns, 22.0626 us/op
WorkloadJitting  2: 16 op, 1470721.77 ns, 91.9201 us/op

WorkloadPilot    1: 16 op, 836557.34 ns, 52.2848 us/op
WorkloadPilot    2: 32 op, 1325582.35 ns, 41.4244 us/op
WorkloadPilot    3: 64 op, 2917010.52 ns, 45.5783 us/op
WorkloadPilot    4: 128 op, 6501005.95 ns, 50.7891 us/op
WorkloadPilot    5: 256 op, 9907041.49 ns, 38.6994 us/op
WorkloadPilot    6: 512 op, 18308352.70 ns, 35.7585 us/op
WorkloadPilot    7: 1024 op, 35792911.58 ns, 34.9540 us/op
WorkloadPilot    8: 2048 op, 67589383.82 ns, 33.0026 us/op
WorkloadPilot    9: 4096 op, 138121669.86 ns, 33.7211 us/op
WorkloadPilot   10: 8192 op, 272648768.81 ns, 33.2823 us/op
WorkloadPilot   11: 16384 op, 560652777.29 ns, 34.2195 us/op

OverheadWarmup   1: 16384 op, 32091.13 ns, 1.9587 ns/op
OverheadWarmup   2: 16384 op, 30632.44 ns, 1.8697 ns/op
OverheadWarmup   3: 16384 op, 37196.53 ns, 2.2703 ns/op
OverheadWarmup   4: 16384 op, 82051.18 ns, 5.0080 ns/op
OverheadWarmup   5: 16384 op, 37196.53 ns, 2.2703 ns/op
OverheadWarmup   6: 16384 op, 72934.38 ns, 4.4516 ns/op
OverheadWarmup   7: 16384 op, 36102.52 ns, 2.2035 ns/op

OverheadActual   1: 16384 op, 56159.47 ns, 3.4277 ns/op
OverheadActual   2: 16384 op, 30632.44 ns, 1.8697 ns/op
OverheadActual   3: 16384 op, 30997.11 ns, 1.8919 ns/op
OverheadActual   4: 16384 op, 30997.11 ns, 1.8919 ns/op
OverheadActual   5: 16384 op, 34643.83 ns, 2.1145 ns/op
OverheadActual   6: 16384 op, 40478.58 ns, 2.4706 ns/op
OverheadActual   7: 16384 op, 71840.36 ns, 4.3848 ns/op
OverheadActual   8: 16384 op, 35373.17 ns, 2.1590 ns/op
OverheadActual   9: 16384 op, 120706.40 ns, 7.3673 ns/op
OverheadActual  10: 16384 op, 44125.30 ns, 2.6932 ns/op
OverheadActual  11: 16384 op, 36467.19 ns, 2.2258 ns/op
OverheadActual  12: 16384 op, 40478.58 ns, 2.4706 ns/op
OverheadActual  13: 16384 op, 35737.85 ns, 2.1813 ns/op
OverheadActual  14: 16384 op, 35373.17 ns, 2.1590 ns/op
OverheadActual  15: 16384 op, 34279.16 ns, 2.0922 ns/op
OverheadActual  16: 16384 op, 64546.93 ns, 3.9396 ns/op
OverheadActual  17: 16384 op, 44489.97 ns, 2.7155 ns/op
OverheadActual  18: 16384 op, 73663.72 ns, 4.4961 ns/op
OverheadActual  19: 16384 op, 39019.89 ns, 2.3816 ns/op
OverheadActual  20: 16384 op, 52148.08 ns, 3.1829 ns/op

WorkloadWarmup   1: 16384 op, 593048770.13 ns, 36.1968 us/op
WorkloadWarmup   2: 16384 op, 542580731.98 ns, 33.1165 us/op
WorkloadWarmup   3: 16384 op, 565277181.64 ns, 34.5018 us/op
WorkloadWarmup   4: 16384 op, 541864151.69 ns, 33.0728 us/op
WorkloadWarmup   5: 16384 op, 552691989.73 ns, 33.7336 us/op
WorkloadWarmup   6: 16384 op, 563078210.09 ns, 34.3676 us/op
WorkloadWarmup   7: 16384 op, 538376064.98 ns, 32.8599 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 537827963.11 ns, 32.8264 us/op
WorkloadActual   2: 16384 op, 543208696.99 ns, 33.1548 us/op
WorkloadActual   3: 16384 op, 551062635.68 ns, 33.6342 us/op
WorkloadActual   4: 16384 op, 572965923.96 ns, 34.9711 us/op
WorkloadActual   5: 16384 op, 546832806.32 ns, 33.3760 us/op
WorkloadActual   6: 16384 op, 541772619.05 ns, 33.0672 us/op
WorkloadActual   7: 16384 op, 552258394.84 ns, 33.7072 us/op
WorkloadActual   8: 16384 op, 548534730.08 ns, 33.4799 us/op
WorkloadActual   9: 16384 op, 549197703.59 ns, 33.5204 us/op
WorkloadActual  10: 16384 op, 530289100.94 ns, 32.3663 us/op
WorkloadActual  11: 16384 op, 543228389.27 ns, 33.1560 us/op
WorkloadActual  12: 16384 op, 543706838.80 ns, 33.1852 us/op
WorkloadActual  13: 16384 op, 540189578.33 ns, 32.9706 us/op
WorkloadActual  14: 16384 op, 553279840.83 ns, 33.7695 us/op
WorkloadActual  15: 16384 op, 552020628.76 ns, 33.6927 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 537788213.88 ns, 32.8240 us/op
WorkloadResult   2: 16384 op, 543168947.75 ns, 33.1524 us/op
WorkloadResult   3: 16384 op, 551022886.44 ns, 33.6318 us/op
WorkloadResult   4: 16384 op, 546793057.08 ns, 33.3736 us/op
WorkloadResult   5: 16384 op, 541732869.81 ns, 33.0648 us/op
WorkloadResult   6: 16384 op, 552218645.60 ns, 33.7048 us/op
WorkloadResult   7: 16384 op, 548494980.84 ns, 33.4775 us/op
WorkloadResult   8: 16384 op, 549157954.35 ns, 33.5179 us/op
WorkloadResult   9: 16384 op, 530249351.70 ns, 32.3639 us/op
WorkloadResult  10: 16384 op, 543188640.03 ns, 33.1536 us/op
WorkloadResult  11: 16384 op, 543667089.56 ns, 33.1828 us/op
WorkloadResult  12: 16384 op, 540149829.10 ns, 32.9681 us/op
WorkloadResult  13: 16384 op, 553240091.59 ns, 33.7671 us/op
WorkloadResult  14: 16384 op, 551980879.52 ns, 33.6902 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 33.2766 us, StdErr = 0.1060 us (0.32%); N = 14, StdDev = 0.3968 us
Min = 32.3639 us, Q1 = 33.0648 us, Median = 33.2782 us, Q3 = 33.6318 us, Max = 33.7671 us
IQR = 0.5670 us, LowerFence = 32.2142 us, UpperFence = 34.4823 us
ConfidenceInterval = [32.8290 us; 33.7242 us] (CI 99.9%), Margin = 0.4476 us (1.35% of Mean)
Skewness = -0.64, Kurtosis = 2.56, MValue = 2

Successfully reverted power plan (GUID: 381b4222-f694-41f0-9685-ff5bb260df2e FriendlyName: Balanced)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ClassPractice.StringVsStringBuilder-report.csv
  BenchmarkDotNet.Artifacts\results\ClassPractice.StringVsStringBuilder-report-github.md
  BenchmarkDotNet.Artifacts\results\ClassPractice.StringVsStringBuilder-report.html

// * Detailed results *
StringVsStringBuilder.UsingString: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 249.0749 us, StdErr = 1.4874 us (0.60%); N = 16, StdDev = 5.9496 us
Min = 242.0259 us, Q1 = 245.4277 us, Median = 247.4221 us, Q3 = 250.5899 us, Max = 263.8446 us
IQR = 5.1622 us, LowerFence = 237.6843 us, UpperFence = 258.3332 us
ConfidenceInterval = [243.0170 us; 255.1328 us] (CI 99.9%), Margin = 6.0579 us (2.43% of Mean)
Skewness = 1.11, Kurtosis = 3.2, MValue = 2
-------------------- Histogram --------------------
[239.960 us ; 249.547 us) | @@@@@@@@@@@
[249.547 us ; 255.100 us) | @@
[255.100 us ; 265.911 us) | @@@
---------------------------------------------------

StringVsStringBuilder.UsingStringBuilder: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 33.2766 us, StdErr = 0.1060 us (0.32%); N = 14, StdDev = 0.3968 us
Min = 32.3639 us, Q1 = 33.0648 us, Median = 33.2782 us, Q3 = 33.6318 us, Max = 33.7671 us
IQR = 0.5670 us, LowerFence = 32.2142 us, UpperFence = 34.4823 us
ConfidenceInterval = [32.8290 us; 33.7242 us] (CI 99.9%), Margin = 0.4476 us (1.35% of Mean)
Skewness = -0.64, Kurtosis = 2.56, MValue = 2
-------------------- Histogram --------------------
[32.220 us ; 33.911 us) | @@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.885 (1803/April2018Update/Redstone4)
Intel Core i7-6600U CPU 2.60GHz (Skylake), 1 CPU, 4 logical and 2 physical cores
Frequency=2742191 Hz, Resolution=364.6719 ns, Timer=TSC
.NET Core SDK=2.2.108
  [Host]     : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT  [AttachedDebugger]
  DefaultJob : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT


|             Method |      Mean |     Error |    StdDev |
|------------------- |----------:|----------:|----------:|
|        UsingString | 249.07 us | 6.0579 us | 5.9496 us |
| UsingStringBuilder |  33.28 us | 0.4476 us | 0.3968 us |

// * Warnings *
Environment
  Summary -> Benchmark was executed with attached debugger

// * Hints *
Outliers
  StringVsStringBuilder.UsingString: Default        -> 1 outlier  was  removed (293.42 us)
  StringVsStringBuilder.UsingStringBuilder: Default -> 1 outlier  was  removed (34.97 us)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 us   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:30 (30.81 sec), executed benchmarks: 2

Global total time: 00:00:53 (53.98 sec), executed benchmarks: 2
// * Artifacts cleanup *
